,state,tot_success,merlot,syrah,savyb,riesling,cabsav,chard,pinot
31,Georgia,390.0,28.0,134.0,0.0,0.0,78.0,78.0,72.0
13,Texas,228.0,0.0,48.0,54.0,0.0,30.0,48.0,48.0
16,Virginia,148.0,28.0,76.0,2.0,0.0,14.0,0.0,28.0
45,Michigan,122.0,0.0,12.0,0.0,16.0,28.0,30.0,36.0
4,Wisconsin,98.0,0.0,0.0,0.0,22.0,44.0,32.0,0.0
34,Tennessee,96.0,0.0,28.0,12.0,2.0,4.0,12.0,38.0
33,Alabama,94.0,0.0,50.0,2.0,6.0,2.0,10.0,24.0
26,Louisiana,86.0,0.0,44.0,30.0,0.0,0.0,0.0,12.0
21,Missouri,84.0,0.0,22.0,6.0,0.0,0.0,26.0,30.0
28,Oklahoma,84.0,0.0,4.0,34.0,0.0,24.0,0.0,22.0
22,West Virginia,84.0,10.0,0.0,44.0,0.0,20.0,0.0,10.0
44,California,80.0,2.0,22.0,8.0,2.0,8.0,10.0,28.0
36,Mississippi,80.0,0.0,42.0,18.0,2.0,0.0,2.0,16.0
14,Pennsylvania,78.0,0.0,2.0,10.0,0.0,0.0,26.0,40.0
32,Florida,74.0,0.0,26.0,0.0,0.0,48.0,0.0,0.0
47,Washington,56.0,8.0,14.0,0.0,8.0,16.0,2.0,8.0
38,Kentucky,52.0,0.0,12.0,0.0,0.0,34.0,2.0,4.0
39,Ohio,48.0,0.0,6.0,12.0,2.0,10.0,0.0,18.0
29,South Carolina,44.0,0.0,12.0,0.0,0.0,8.0,10.0,14.0
43,Indiana,44.0,0.0,2.0,0.0,0.0,18.0,10.0,14.0
25,North Carolina,44.0,14.0,6.0,0.0,0.0,16.0,0.0,8.0
20,Illinois,42.0,0.0,8.0,0.0,2.0,12.0,6.0,14.0
24,Nebraska,38.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0
10,New York,38.0,0.0,12.0,0.0,0.0,12.0,0.0,14.0
5,Minnesota,38.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0
17,Maryland,38.0,0.0,0.0,8.0,0.0,10.0,4.0,16.0
12,North Dakota,36.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0
27,Arkansas,32.0,0.0,8.0,8.0,0.0,0.0,2.0,14.0
1,Massachusetts,28.0,0.0,0.0,0.0,10.0,0.0,0.0,18.0
46,Oregon,24.0,0.0,2.0,2.0,12.0,2.0,2.0,4.0
23,Kansas,22.0,0.0,0.0,2.0,0.0,12.0,8.0,0.0
40,Idaho,22.0,4.0,0.0,0.0,0.0,4.0,14.0,0.0
0,Iowa,18.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0
3,New Hampshire,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
35,Colorado,14.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0
19,Montana,12.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0
7,Vermont,10.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
30,Nevada,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
18,Utah,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
9,New Jersey,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
6,Maine,6.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
41,Arizona,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
2,Rhode Island,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Connecticut,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
37,Wyoming,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
42,New Mexico,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
11,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
